,Unnamed: 0,old_ind,Hotel_Name,Average_Score,key
161,161,55145,H tel des Academies et des Arts,8.8,[u'staff']
162,162,55195,Hotel Lumen Paris Louvre,8.7,"[u'breakfast', u'hotel', u'location', u'staff']"
163,163,55265,Le Marquis Eiffel,8.8,"[u'location', u'staff']"
164,164,55386,COQ Hotel Paris,9,"[u'breakfast', u'friendly', u'good', u'great', u'hotel', u'location', u'metro', u'nice', u'room', u'staff']"
165,165,55644,Mill sime H tel,9.3,"[u'hotel', u'location', u'room', u'staff']"
166,166,55811,The Leonard Hotel,8.2,"[u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'room', u'staff']"
167,167,56246,DoubleTree by Hilton London Hyde Park,8.4,"[u'bed', u'breakfast', u'check', u'clean', u'close', u'comfortable', u'comfy', u'cookie', u'cooky', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'hyde', u'location', u'lovely', u'nice', u'park', u'restaurant', u'room', u'staff', u'station', u'stay', u'tube', u'walk', u'well']"
168,168,57191,The Ritz London,9.3,"[u'everything', u'hotel', u'make', u'room', u'service', u'staff']"
169,169,57597,M by Montcalm Shoreditch London Tech City,9.1,"[u'also', u'amaze', u'amazing', u'area', u'back', u'bar', u'bathroom', u'beautiful', u'bed', u'best', u'birthday', u'breakfast', u'check', u'clean', u'close', u'coffee', u'comfortable', u'comfy', u'control', u'curtain', u'definitely', u'even', u'everything', u'excellent', u'extra', u'extremely', u'facility', u'fantastic', u'floor', u'food', u'free', u'friendly', u'get', u'go', u'good', u'great', u'helpful', u'high', u'hotel', u'light', u'like', u'location', u'london', u'look', u'love', u'lovely', u'make', u'modern', u'nice', u'one', u'perfect', u'pool', u'positive', u'really', u'recommend', u'restaurant', u'room', u'service', u'shower', u'spa', u'staff', u'station', u'stay', u'super', u'tech', u'technology', u'time', u'touch', u'tube', u'upgrade', u'use', u'view', u'welcome', u'well', u'would']"
170,170,59752,Legend Saint Germain by Elegancia,8.9,"[u'bed', u'great', u'location', u'room', u'staff']"
171,171,59830,Clayton Crown Hotel London,8,"[u'bar', u'bed', u'breakfast', u'bus', u'clean', u'comfortable', u'comfy', u'easy', u'excellent', u'facility', u'food', u'friendly', u'get', u'good', u'great', u'helpful', u'hotel', u'location', u'london', u'lovely', u'nice', u'pool', u'positive', u'quiet', u'really', u'reception', u'restaurant', u'room', u'size', u'spacious', u'staff', u'station', u'stay', u'well']"
172,172,60909,Au Manoir Saint Germain,8.6,"[u'location', u'room', u'staff']"
173,173,61075,St Paul s Hotel,9,"[u'bed', u'breakfast', u'clean', u'comfortable', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'lovely', u'nice', u'room', u'staff', u'stay']"
174,174,61456,Best Western S vres Montparnasse,7.8,"[u'good', u'room', u'staff']"
175,175,61644,The Bloomsbury Hotel,9,"[u'bed', u'comfortable', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'lovely', u'nice', u'room', u'service', u'staff', u'stay']"
176,176,62183,Nolinski Paris,9.4,[u'staff']
177,177,62296,Le Tourville Eiffel,8.8,"[u'location', u'staff']"
178,178,62436,Paris Marriott Opera Ambassador Hotel,7.9,[u'location']
179,179,62502,Hotel Indigo London Paddington,8.7,"[u'clean', u'friendly', u'good', u'great', u'location', u'paddington', u'room', u'staff', u'station']"
180,180,62770,Idol Hotel,9.1,"[u'room', u'staff']"
181,181,62874,H tel California Champs Elys es,8.2,"[u'hotel', u'location', u'room', u'staff']"
182,182,63149,Hotel de Seze,9.2,"[u'hotel', u'location', u'room', u'staff']"
183,183,63229,Number Sixteen,9.1,"[u'hotel', u'room', u'staff']"
184,184,63316,Hotel Xenia Autograph Collection,9,"[u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'room', u'staff']"
185,185,63612,H tel Hor,8.6,"[u'clean', u'comfortable', u'du', u'excellent', u'friendly', u'gare', u'good', u'great', u'helpful', u'hotel', u'location', u'nice', u'nord', u'room', u'staff']"
